x,y1,y2,y3
0.242114,1.04963,1.53154,0.972728
0.242902,1.04963,1.53154,0.972728
0.243691,1.04963,1.53154,0.972728
0.244479,1.0509,1.53861,0.972468
0.245268,1.0509,1.53861,0.972468
0.246057,1.0509,1.53861,0.972468
0.246845,1.0509,1.53861,0.972468
0.247634,1.05218,1.54569,0.972211
0.248423,1.05218,1.54569,0.972211
0.249211,1.05218,1.54569,0.972211
0.25,1.05218,1.54569,0.972211
0.250789,1.05348,1.55278,0.971957
0.251577,1.05348,1.55278,0.971957
0.252366,1.05348,1.55278,0.971957
0.253155,1.05348,1.55278,0.971957
0.253943,1.0548,1.55987,0.971705
0.254732,1.0548,1.55987,0.971705
0.255521,1.0548,1.55987,0.971705
0.256309,1.0548,1.55987,0.971705
0.257098,1.05613,1.56698,0.971455
0.257886,1.05613,1.56698,0.971455
0.258675,1.05613,1.56698,0.971455
0.259464,1.05613,1.56698,0.971455
0.260252,1.05747,1.57409,0.971209
0.261041,1.05747,1.57409,0.971209
0.26183,1.05747,1.57409,0.971209
0.262618,1.05747,1.57409,0.971209
0.263407,1.05884,1.5812,0.970965
0.264196,1.05884,1.5812,0.970965
0.264984,1.05884,1.5812,0.970965
0.265773,1.05884,1.5812,0.970965
0.266562,1.06021,1.58833,0.970724
0.26735,1.06021,1.58833,0.970724
0.268139,1.06021,1.58833,0.970724
0.268927,1.06021,1.58833,0.970724
0.269716,1.0616,1.59546,0.970485
0.270505,1.0616,1.59546,0.970485
0.271293,1.0616,1.59546,0.970485
0.272082,1.0616,1.59546,0.970485
0.272871,1.06301,1.6026,0.97025
0.273659,1.06301,1.6026,0.97025
0.274448,1.06301,1.6026,0.97025
0.275237,1.06301,1.6026,0.97025
0.276025,1.06443,1.60975,0.970017
0.276814,1.06443,1.60975,0.970017
0.277603,1.06443,1.60975,0.970017
0.278391,1.06443,1.60975,0.970017
0.27918,1.06587,1.61691,0.969787
0.279968,1.06587,1.61691,0.969787
0.280757,1.06587,1.61691,0.969787
0.281546,1.06587,1.61691,0.969787
0.282334,1.06732,1.62408,0.969559
0.283123,1.06732,1.62408,0.969559
0.283912,1.06732,1.62408,0.969559
0.2847,1.06732,1.62408,0.969559
0.285489,1.06879,1.63125,0.969335
0.286278,1.06879,1.63125,0.969335
0.287066,1.06879,1.63125,0.969335
0.287855,1.06879,1.63125,0.969335
0.288644,1.07027,1.63843,0.969113
0.289432,1.07027,1.63843,0.969113
0.290221,1.07027,1.63843,0.969113
0.291009,1.07027,1.63843,0.969113
0.291798,1.07177,1.64563,0.968894
0.292587,1.07177,1.64563,0.968894
0.293375,1.07177,1.64563,0.968894
0.294164,1.07177,1.64563,0.968894
0.294953,1.07328,1.65283,0.968678
0.295741,1.07328,1.65283,0.968678
0.29653,1.07328,1.65283,0.968678
0.297319,1.07328,1.65283,0.968678
0.298107,1.07481,1.66004,0.968465
0.298896,1.07481,1.66004,0.968465
0.299685,1.07481,1.66004,0.968465
0.300473,1.07481,1.66004,0.968465
0.301262,1.07635,1.66726,0.968254
0.30205,1.07635,1.66726,0.968254
0.302839,1.07635,1.66726,0.968254
0.303628,1.07635,1.66726,0.968254
0.304416,1.07791,1.67448,0.968047
0.305205,1.07791,1.67448,0.968047
0.305994,1.07791,1.67448,0.968047
0.306782,1.07791,1.67448,0.968047
0.307571,1.07948,1.68172,0.967842
0.30836,1.07948,1.68172,0.967842
0.309148,1.07948,1.68172,0.967842
0.309937,1.07948,1.68172,0.967842
0.310726,1.08107,1.68897,0.967641
0.311514,1.08107,1.68897,0.967641
0.312303,1.08107,1.68897,0.967641
0.313091,1.08107,1.68897,0.967641
0.31388,1.08267,1.69622,0.967442
0.314669,1.08267,1.69622,0.967442
0.315457,1.08267,1.69622,0.967442
0.316246,1.08267,1.69622,0.967442
0.317035,1.08429,1.70349,0.967246
0.317823,1.08429,1.70349,0.967246
0.318612,1.08429,1.70349,0.967246
0.319401,1.08429,1.70349,0.967246
0.320189,1.08592,1.71076,0.967053
0.320978,1.08592,1.71076,0.967053
0.321767,1.08592,1.71076,0.967053
0.322555,1.08592,1.71076,0.967053
0.323344,1.08756,1.71805,0.966863
0.324132,1.08756,1.71805,0.966863
0.324921,1.08756,1.71805,0.966863
0.32571,1.08756,1.71805,0.966863
0.326498,1.08923,1.72534,0.966676
0.327287,1.08923,1.72534,0.966676
0.328076,1.08923,1.72534,0.966676
0.328864,1.08923,1.72534,0.966676
0.329653,1.0909,1.73265,0.966492
0.330442,1.0909,1.73265,0.966492
0.33123,1.0909,1.73265,0.966492
0.332019,1.0909,1.73265,0.966492
0.332808,1.09259,1.73996,0.966311
0.333596,1.09259,1.73996,0.966311
0.334385,1.09259,1.73996,0.966311
0.335174,1.09259,1.73996,0.966311
0.335962,1.0943,1.74729,0.966133
0.336751,1.0943,1.74729,0.966133
0.337539,1.0943,1.74729,0.966133
0.338328,1.0943,1.74729,0.966133
0.339117,1.09602,1.75462,0.965958
0.339905,1.09602,1.75462,0.965958
0.340694,1.09602,1.75462,0.965958
0.341483,1.09602,1.75462,0.965958
0.342271,1.09775,1.76197,0.965786
0.34306,1.09775,1.76197,0.965786
0.343849,1.09775,1.76197,0.965786
0.344637,1.09775,1.76197,0.965786
0.345426,1.09951,1.76933,0.965617
0.346215,1.09951,1.76933,0.965617
0.347003,1.09951,1.76933,0.965617
0.347792,1.09951,1.76933,0.965617
0.34858,1.10127,1.77669,0.965451
0.349369,1.10127,1.77669,0.965451
0.350158,1.10127,1.77669,0.965451
0.350946,1.10127,1.77669,0.965451
0.351735,1.10305,1.78407,0.965288
0.352524,1.10305,1.78407,0.965288
0.353312,1.10305,1.78407,0.965288
0.354101,1.10305,1.78407,0.965288
0.35489,1.10484,1.79146,0.965128
0.355678,1.10484,1.79146,0.965128
0.356467,1.10484,1.79146,0.965128
0.357256,1.10484,1.79146,0.965128
0.358044,1.10665,1.79886,0.964971
0.358833,1.10665,1.79886,0.964971
0.359621,1.10665,1.79886,0.964971
0.36041,1.10665,1.79886,0.964971
0.361199,1.10848,1.80627,0.964818
0.361987,1.10848,1.80627,0.964818
0.362776,1.10848,1.80627,0.964818
0.363565,1.10848,1.80627,0.964818
0.364353,1.11032,1.81369,0.964668
0.365142,1.11032,1.81369,0.964668
0.365931,1.11032,1.81369,0.964668
0.366719,1.11032,1.81369,0.964668
0.367508,1.11217,1.82112,0.96452
0.368297,1.11217,1.82112,0.96452
0.369085,1.11217,1.82112,0.96452
0.369874,1.11217,1.82112,0.96452
0.370662,1.11404,1.82857,0.964376
0.371451,1.11404,1.82857,0.964376
0.37224,1.11404,1.82857,0.964376
0.373028,1.11404,1.82857,0.964376
0.373817,1.11592,1.83602,0.964235
0.374606,1.11592,1.83602,0.964235
0.375394,1.11592,1.83602,0.964235
0.376183,1.11592,1.83602,0.964235
0.376972,1.11782,1.84349,0.964098
0.37776,1.11782,1.84349,0.964098
0.378549,1.11782,1.84349,0.964098
0.379338,1.11782,1.84349,0.964098
0.380126,1.11973,1.85097,0.963963
